date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2021-08-19,119827.9745224346,2845.0057221390043,2944.165081248529,814,351,259,298,388,302,168,219,80,35
2021-08-20,119638.13931824434,2754.329877058277,2801.165081248529,851,373,260,239,367,233,135,169,62,18
2021-08-21,119829.8041140541,2992.829877058277,1358.9984145818626,680,146,108,97,110,57,35,47,14,3
2021-08-22,120540.46890986385,2069.66321039161,1362.9984145818626,648,247,89,88,93,56,29,47,14,5
2021-08-23,120933.6337056736,1756.1632103916102,4073.250017369319,897,818,435,303,644,330,165,187,114,34
2021-08-24,120228.37189869588,3367.98821039161,3263.250017369319,729,294,570,340,430,314,202,231,81,32
2021-08-25,120195.11009171818,3229.98821039161,3056.5833507026523,803,343,341,266,341,314,142,201,87,44
2021-08-26,119949.07050696269,2810.5437659471654,3080.2168071933083,894,440,264,284,379,307,158,174,82,40
2021-08-27,119912.1058565541,3043.252156784728,3003.916807193308,917,472,275,229,388,265,124,153,78,39
2021-08-28,119937.97453947886,3029.7854901180613,1337.4232421997433,676,195,87,78,102,65,39,37,17,5
2021-08-29,120916.85223141262,2316.300934133505,1323.8486374566603,625,238,100,84,99,69,36,36,13,8
2021-08-30,121419.95598834418,1826.9523943882264,3421.640304123327,740,759,541,281,326,281,161,155,79,43
2021-08-31,120720.1430786091,2721.8273943882264,3314.440304123327,803,432,499,324,359,309,194,180,97,39
2021-09-01,120177.83016887399,2772.127394388226,3494.6670483093735,824,399,532,346,372,321,190,259,125,48
2021-09-02,119616.4048560381,2933.2417354734976,3088.4500813424065,847,409,305,309,359,335,149,197,79,33
2021-09-03,119478.21302668571,2950.2582519900143,2895.616748009073,924,425,280,312,289,268,127,145,56,15
2021-09-04,119724.7989751111,3142.2026964344586,1426.2253426664483,733,192,105,84,99,77,43,39,28,8
2021-09-05,120583.90931378039,2285.3356813357364,1404.0864537775594,737,266,87,72,76,51,32,40,18,3
2021-09-06,121212.01965244967,2032.1967924468472,1451.0864537775594,590,265,128,91,95,96,43,61,33,8
2021-09-07,121701.62999111897,1940.6967924468472,3498.4614537775597,696,729,686,297,296,305,160,172,73,22
2021-09-08,121020.49032978826,2817.321792446847,3379.4614537775597,802,385,536,353,400,348,172,201,86,32
2021-09-09,120581.95066845755,2940.921792446847,3272.843806718736,811,369,419,318,429,338,177,182,103,39
2021-09-10,120335.94041889154,3026.8335571527296,3096.910473385403,859,441,312,367,348,292,164,146,92,37
2021-09-11,120295.13016932552,3056.1002238193964,1316.9104733854026,637,177,113,82,93,76,32,44,13,3
2021-09-12,121166.31991975952,2188.1002238193964,1509.5771400520694,685,301,87,90,88,84,52,54,18,11
2021-09-13,121572.34300352685,1915.6002238193962,3405.5771400520694,738,740,468,280,315,306,171,198,89,31
2021-09-14,121135.76608729418,2969.0002238193965,3258.4401668719925,848,350,463,277,392,362,163,193,101,43
2021-09-15,120859.20066531438,2981.874744892193,3257.9857114264482,808,442,401,308,398,310,149,209,100,45
2021-09-16,120471.03260307055,2869.8176491826225,3150.9857114264482,815,449,316,277,380,347,153,192,103,29
2021-09-17,120382.65025511244,3062.6033634683367,2810.9857114264482,869,395,272,257,290,275,127,158,82,22
2021-09-18,120590.60124048767,3018.9366968016698,1375.0690447597815,666,186,121,103,80,67,37,54,18,2
2021-09-19,121386.38555919622,2170.8533634683367,1542.0690447597815,684,282,123,73,92,87,40,71,32,9
2021-09-20,121763.16987790477,1918.8533634683365,3363.5690447597813,723,757,448,238,308,309,145,202,70,40
2021-09-21,121205.78752994665,2806.1866968016698,3275.9023780931147,784,379,434,304,331,350,178,252,118,46
2021-09-22,120915.07184865522,2985.1866968016698,3167.4023780931147,784,357,390,312,389,327,184,215,95,27
2021-09-23,120624.35616736377,2876.6866968016698,3090.4023780931147,785,389,303,317,347,335,160,202,128,51
2021-09-24,120432.42143845328,2898.467649182622,2763.1801558708926,810,443,260,300,279,242,106,157,54,23
2021-09-25,120831.82004287612,3162.5787602937335,1330.6801558708926,682,154,105,92,110,73,24,31,13,5
2021-09-26,121672.71864729896,2171.5787602937335,1464.6801558708926,683,241,123,74,80,100,36,43,26,11
2021-09-27,122094.6172517218,1886.5787602937335,3360.1801558708926,721,769,472,263,304,328,121,180,103,32
2021-09-28,121569.9325228113,2835.4954269604,3097.4301558708926,821,327,460,279,338,328,143,210,91,40
2021-09-29,121455.84779390082,2983.3454269604,2940.1206320613687,824,356,377,267,333,260,146,184,124,37
2021-09-30,121510.43449356176,2994.707331722305,3108.1206320613687,806,423,289,340,333,267,167,211,99,33
2021-10-01,121344.02119322268,2941.707331722305,3168.6206320613687,848,430,286,304,351,304,152,224,116,46
